date,srtg_price_idr,TBIG,MDKA,ADRO,AADI,MPMX,AGII,NRCA,jci_idx,nav_idr_bn,nav_per_share_idr,discount_to_nav_pct
2024-12-05,2670.0,1930.0,1920.0,2340.0,6650.0,990.0,1570.0,356.0,,60450.48,4461.29,40.15
2024-12-06,2590.0,1940.0,1910.0,2300.0,7975.0,990.0,1560.0,358.0,,61848.43,4564.46,43.26
2024-12-09,2780.0,1950.0,1920.0,2680.0,9550.0,995.0,1560.0,376.0,,65652.87,4845.23,42.62
2024-12-10,2650.0,1955.0,1990.0,2730.0,10275.0,995.0,1575.0,364.0,,67117.76,4953.34,46.5
2024-12-11,2510.0,1955.0,1985.0,2610.0,9600.0,1000.0,1550.0,358.0,,65729.02,4850.85,48.26
2024-12-12,2370.0,1940.0,1945.0,2530.0,9200.0,1000.0,1550.0,358.0,,64579.03,4765.98,50.27
2024-12-13,2350.0,1985.0,1925.0,2580.0,9200.0,995.0,1555.0,356.0,,65032.41,4799.44,51.04
2024-12-16,2310.0,1980.0,1900.0,2600.0,9250.0,995.0,1530.0,352.0,,65024.42,4798.85,51.86
2024-12-17,2250.0,1980.0,1840.0,2510.0,8925.0,990.0,1525.0,350.0,,63913.59,4716.87,52.3
2024-12-18,2240.0,1975.0,1760.0,2590.0,8650.0,985.0,1510.0,348.0,,63537.31,4689.1,52.23
2024-12-19,2160.0,1960.0,1615.0,2540.0,8350.0,970.0,1490.0,344.0,,62106.97,4583.54,52.87
2024-12-20,2050.0,1900.0,1595.0,2550.0,8075.0,975.0,1460.0,346.0,,61309.96,4524.72,54.69
2024-12-23,2080.0,1910.0,1630.0,2540.0,7600.0,975.0,1455.0,346.0,,60936.11,4497.13,53.75
2024-12-24,2080.0,1955.0,1580.0,2510.0,7725.0,985.0,1435.0,348.0,,61045.6,4505.21,53.83
2024-12-27,2060.0,2150.0,1570.0,2540.0,8175.0,985.0,1430.0,346.0,,63064.14,4654.18,55.74
2024-12-30,2090.0,2100.0,1615.0,2430.0,8475.0,985.0,1400.0,352.0,,62743.0,4630.48,54.86
2025-01-02,2070.0,2100.0,1595.0,2530.0,8225.0,985.0,1415.0,356.0,,62833.65,4637.17,55.36
2025-01-03,2030.0,2070.0,1600.0,2460.0,7850.0,985.0,1405.0,354.0,,61863.2,4565.55,55.54
2025-01-06,1840.0,2070.0,1550.0,2380.0,7675.0,980.0,1430.0,352.0,,61033.81,4504.34,59.15
2025-01-07,1905.0,2080.0,1510.0,2470.0,7875.0,980.0,1395.0,348.0,,61569.44,4543.87,58.08
